Conference Name,Industry / Category,Start Date,End Date,Venue Name,Address,Cost,Website URL,Organizer Name,Contact Email,Contact Phone,CFP / Talk Submission URL,Source
VIDEO EXPLORATIONS,Business & Professional,4/4/2026,4/4/2026,Human Potential Center,"2007 Bert Ave, Austin, TX",Free,https://www.meetup.com/humanpotentialcenter-austin/events/314059276/,Human Potential Center,,,,Meetup.com
Workout In The Park!,Business & Professional,4/4/2026,4/4/2026,"7000 Ardath St, Austin, TX 78757, USA","7000 Ardath St, Austin, TX 78757, USA, Austin, TX, 78757",Free,https://www.meetup.com/meditation-workout-in-the-park/events/314059549/,Meditation + Workout In The Park,,,,Meetup.com
❤️Think and Grow Rich💲Practical Workshop for Wealth💰and Success💯,Business & Professional,4/4/2026,4/4/2026,Online event,"Austin, TX",Free,https://www.meetup.com/austin-manifestation-club/events/314029450/,Austin Manifestation Club,,,,Meetup.com
 SUNDAY AFTERNOON SHORT POSE LIFE DRAWING  SESSION  2-5pm,Business & Professional,4/5/2026,4/5/2026,,"Austin, TX",Paid — 10.0 USD,https://www.meetup.com/figuredrawing-188/events/313040894/,Austin Life Drawing Meetup Group,,,,Meetup.com
(E.Aus) Sip & Solder Eggs stained glass workshop,Business & Professional,4/5/2026,4/5/2026,Austin Beerworks,"10300 Sprinkle Valley Rd, Austin, TX, 78754",Free,https://www.meetup.com/austin-art-lovers/events/313986749/,Austin Art Lovers,,,,Meetup.com
"April Dining Club
🐣 Easter Sunday Brunch 🐰 ",Business & Professional,4/5/2026,4/5/2026,Ember,"800 W. Cesar Chavez Street, Suite PP119, Austin, TX, 78701",Paid — 3.0 USD,https://www.meetup.com/meetup-group-qxrjehfm/events/313494359/,Posh Pours and Bites,,,,Meetup.com
Asmbly Maker Meet: CNC Creators,Business & Professional,4/5/2026,4/5/2026,Asmbly Makerspace,"9701 Dessau Rd Suite 304, Austin, TX, 78754",Free,https://www.meetup.com/asmbly/events/313598372/,Asmbly Maker Meets,,,,Meetup.com
Asmbly Maker Meet: Laser Creators,Business & Professional,4/5/2026,4/5/2026,Asmbly Makerspace,"9701 Dessau Rd Suite 304, Austin, TX, 78754",Free,https://www.meetup.com/asmbly/events/313722578/,Asmbly Maker Meets,,,,Meetup.com
Bob Appel at ABGB's Sunday's Best,Business & Professional,4/5/2026,4/5/2026,The ABGB,"1305 West Oltorf Street, Austin, TX, 78704",Free,https://www.meetup.com/austin-honky-tonk-rockabilly/events/313784905/,Austin Honky Tonk & Rockabilly,,,,Meetup.com
Coffee & Brainstorm (2026 Adventures Planning Jam),Business & Professional,4/5/2026,4/5/2026,Habesha,"6019 N Interstate Hwy 35, Austin, TX 78723, Austin, TX, 78723",Free,https://www.meetup.com/dadventure-club-atx/events/313252203/,Dadventure Club ATX,,,,Meetup.com
Coffee & Outdoor Talk @ Easy Tiger,Business & Professional,4/5/2026,4/5/2026,Easy Tiger - The Linc,"6406 N Interstate 35 Frontage Rd #1100, Austin, TX, 78752",Free,https://www.meetup.com/landbound/events/313814308/,Landbound Adventures ATX,,,,Meetup.com
Conversemos por la Red! English/Spanish Conversation Online,Business & Professional,4/5/2026,4/5/2026,Online event,"Austin, TX",Free,https://www.meetup.com/english-espanol/events/313463912/,English Español Conversation Club,,,,Meetup.com
"Grief Education Petition: Please Review, Sign, Share & Post",Business & Professional,4/5/2026,4/5/2026,,"Austin, TX",Free,https://www.meetup.com/virtualgriefsupport/events/313815937/,Central States: Virtual Grief Support Groups -MyGriefAngels,,,,Meetup.com
How Divine Spirit Works in Our Lives Every Day—ECK Light and Sound Service,Business & Professional,4/5/2026,4/5/2026,Online event,"Austin, TX",Free,https://www.meetup.com/eckankar-austin-tx/events/312653870/,ECKANKAR Austin—Spiritual Experiences,,,,Meetup.com
Inclusive & family friendly Abstract Art Social Mixer - Express Your Creativity!,Business & Professional,4/5/2026,4/5/2026,AtxArtParty,"500 E Ben White Blvd, Austin, TX, 78704",Free,https://www.meetup.com/atxartparty/events/313573322/,AtxArtParty,,,,Meetup.com
"Make PASSIVE INCOME with AI, Shopify & Amazon: FREE Webinar",Business & Professional,4/5/2026,4/5/2026,Online event,"Austin, TX",Free,https://www.meetup.com/learn-to-use-ai-shopify-dropshipping-to-build-a-business/events/313917385/,Learn to make PASSIVE INCOME with Shopify and AI and Amazon,,,,Meetup.com
Men’s group- Open to all men on Zoom ,Business & Professional,4/5/2026,4/5/2026,,"Austin, TX",Free,https://www.meetup.com/austin-om-community/events/313811509/,Austin OM Community,,,,Meetup.com
Postive Bible Study Meeting ,Business & Professional,4/5/2026,4/5/2026,Online event,"Austin, TX",Free,https://www.meetup.com/positive-bible-study-meeting/events/312436071/,Positive Bible Study Meeting,,,,Meetup.com
"Reflect, Refine, Rise | Weekly Reset at Radio ☕️",Business & Professional,4/5/2026,4/5/2026,Radio Coffee,"4208 Manchaca Rd, Austin, TX",Free,https://www.meetup.com/i-love-austin-but-i-need-some-f-g-friends/events/313784221/,"I love Austin, but I need some f*****g friends!",,,,Meetup.com
Robert Waggoner on Lucid Dreaming and Out-of-Body Experience,Business & Professional,4/5/2026,4/5/2026,Online event,"Austin, TX",Free,https://www.meetup.com/austin-consciousness-connections/events/314058106/,Austin Consciousness Connections,,,,Meetup.com
Sunday Morning Group Workout - Mount Bonnell Stair Climb,Business & Professional,4/5/2026,4/5/2026,Mount Bonnell,"3800 Mount Bonnell Road, Austin, TX",Free,https://www.meetup.com/i-love-austin-but-i-need-some-f-g-friends/events/314022770/,"I love Austin, but I need some f*****g friends!",,,,Meetup.com
The Ai Implementation Club,Business & Professional,4/5/2026,4/5/2026,,"Austin, TX",Free,https://lu.ma/bdlligqy,"Chrissy McDannell, Jake O'Shea, Gary Sheng",,,,Luma (lu.ma)
Weekly Watch Party: The Atheist Experience & Talk Heathen,Business & Professional,4/5/2026,4/5/2026,,"Austin, TX",Free,https://www.meetup.com/the-atheist-community-of-austin/events/313812696/,The Atheist Community of Austin,,,,Meetup.com
Writing Workshop ⟡ Origin Stories,Business & Professional,4/5/2026,4/5/2026,Central Market,"4001 N Lamar Blvd, Austin, TX, 78746",Free,https://www.meetup.com/creative-friendship-lab/events/313938791/,Creative Friendship Lab: Unity In Diversity,,,,Meetup.com
A Cappella Unlimited chorus open rehearsals every Monday night. Come join us!!,Business & Professional,4/6/2026,4/6/2026,"Texas State University, in the Music Building, Room 222. san Marcos TX","Texas State University, in the Music Building, Room 222. san Marcos TX, San Marcos, TX, 78666",Free,https://www.meetup.com/a-cappella-unlimited/events/312769789/,"A Cappella Unlimited Chorus, a chapter of Sweet Adelines Int",,,,Meetup.com
"ATX Ecosystem Resources, Updates, Networking, Lightning Pitches, Raffle & More",Business & Professional,4/6/2026,4/6/2026,Capital Factory,"701 Brazos St, Austin, TX, 78701",Free,https://www.meetup.com/austin-startup-meetup/events/312643474/,Austin Startup Meetup,,,,Meetup.com
"Austin HealthTech Startups, Investors, Innovators Networking Event",Business & Professional,4/6/2026,4/6/2026,Kitty Cohen's,"2211 Webberville Road, Austin, TX, 78702",Free,https://www.meetup.com/austin-startup-pitch-and-networking-group/events/313525172/,Austin Startup Pitch and Networking Group,,,,Meetup.com
Balcones Toastmasters Weekly Meeting ,Business & Professional,4/6/2026,4/6/2026,Online event,"Austin, TX",Free,https://www.meetup.com/balcones-toastmasters/events/313819523/,Balcones Toastmasters,,,,Meetup.com
Because of This Your Self-Confidence and Relationships Will Improve,Business & Professional,4/6/2026,4/6/2026,Online event,"Austin, TX",Free,https://www.meetup.com/what-builds-your-self-confidence-in-relationships-and-life/events/313932894/,What Builds Your Self-Confidence in Relationships and Life,,,,Meetup.com
Calling All Leaders: Meetup Organizer Open House Happy Hour - Round Rock,Business & Professional,4/6/2026,4/6/2026,Long Branch Saloon,"107 W Main St, Round Rock, tx, 78664",Free,https://www.meetup.com/i-love-austin-but-i-need-some-f-g-friends/events/313818252/,"I love Austin, but I need some f*****g friends!",,,,Meetup.com
Catholic Bible Study every other Monday at 730cst,Business & Professional,4/6/2026,4/6/2026,Online event,"Austin, TX",Free,https://www.meetup.com/dfw-area-women-s-catholic-bible-study/events/309994195/,DFW Area Women’s Catholic Bible Study,,,,Meetup.com
Climate Anxiety in an Uncertain World,Business & Professional,4/6/2026,4/6/2026,Online event,"Austin, TX",Free,https://www.meetup.com/small-group-conversations-for-connection-support-virtual/events/313492601/,Small Group Conversations for Connection & Support (Virtual),,,,Meetup.com
Dating & Relationship Patterns Workshop for Adults,Business & Professional,4/6/2026,4/6/2026,Online event,"Austin, TX",Free,https://www.meetup.com/dating-and-relationships-101-meetup-group/events/313932934/,Dating and Relationships 101 Meetup Group,,,,Meetup.com
DC512 April Meetup,Business & Professional,4/6/2026,4/6/2026,Celis Brewery,"10001 Metric Blvd., Austin, TX, 78758",Free,https://www.meetup.com/dc512atx/events/313910649/,DC512,,,,Meetup.com
Family Constellations Austin ,Business & Professional,4/6/2026,4/6/2026,Casa de Luz,"1701 Toomey Road, Austin, TX, 78704",Free,https://www.meetup.com/family-constellations-austin/events/313825916/,Family Constellations Austin,,,,Meetup.com
First Monday Newcomer Friendly North Happy Hour ~  at BJ's  on Mopac!,Business & Professional,4/6/2026,4/6/2026,BJ's Restaurant and Brewhouse,"10515 Mopac Expwy, Austin, TX, 78758",Free,https://www.meetup.com/primetimeatx/events/313589485/,PrimeTime ATX,,,,Meetup.com
Game Gathering at Kerbey Lane,Business & Professional,4/6/2026,4/6/2026,Kerbey Lane Cafe - Northwest,"13435 US-183 Hwy Ste 415, Austin, TX, 78750",Free,https://www.meetup.com/g3games/events/314074617/,g3 Games (and Gatherings),,,,Meetup.com
How to Be More Positive and Free,Business & Professional,4/6/2026,4/6/2026,Online event,"Austin, TX",Free,https://www.meetup.com/can-you-build-lasting-friendships-and-relationships/events/313932914/,Can you Build Lasting Friendships and Relationships,,,,Meetup.com
How to Put Emotional Trauma behind You,Business & Professional,4/6/2026,4/6/2026,Online event,"Austin, TX",Free,https://www.meetup.com/meetup-group-what-controls-your-emotions/events/313928458/,What Controls Your Emotions Happiness and Confidence,,,,Meetup.com
"I.M.P.A.C.T.
Innovation in Medtech, Pharma, AI, Clinical Trials
RSPV link below",Business & Professional,4/6/2026,4/6/2026,Capital Factory,"Capital Factory 701 Brazos St, Austin, TX 78701, USA, Austin, TX, 78701",Free,https://www.meetup.com/austin-medical-information-meetup-group/events/313528932/,I.M.P.A.C.T.,,,,Meetup.com
"Learn How to Get Over Painful Experiences, Such as a Divorce or Breakup",Business & Professional,4/6/2026,4/6/2026,Online event,"Austin, TX",Free,https://www.meetup.com/recover-your-happiness-and-self-confidence-texas/events/313928450/,Recover Your Happiness and Self Confidence Texas,,,,Meetup.com
MARA Meeting ,Business & Professional,4/6/2026,4/6/2026,Communities For Recovery,"4110 Guadalupe St #635, Austin, TX, 78751",Free,https://www.meetup.com/communities-for-recovery/events/313818923/,Communities for Recovery,,,,Meetup.com
Microsoft Copilot Studio Masterclass: Future of AI Agents,Business & Professional,4/6/2026,4/6/2026,Online event,"Austin, TX",Free,https://www.meetup.com/texas-information-technology-meetup-group/events/314038177/,Texas Information Technology Meetup Group,,,,Meetup.com
Momentum Monday (+ Wednesday + Friday) Coworking,Business & Professional,4/6/2026,4/6/2026,,"Austin, TX",Free,https://www.meetup.com/momentummonday/events/313819574/,Momentum Coworking,,,,Meetup.com
Networking and New Connections,Business & Professional,4/6/2026,4/6/2026,Online event,"Austin, TX",Free,https://www.meetup.com/dallas-networking-and-new-connections/events/313808233/,Dallas Networking and new Connections,,,,Meetup.com
Nia with Luanne in the ❤️ of Austin-Hancock Rec Center,Business & Professional,4/6/2026,4/6/2026,Hancock Recreation Center,"41st and Red River Streets, Austin, TX, 78751",Paid — 12.0 USD,https://www.meetup.com/experience-nia-technique-austin-tx/events/313825928/,"Experience Nia Technique - Austin, TX",,,,Meetup.com
Pathfinder Society Meetup!,Business & Professional,4/6/2026,4/6/2026,Dragon's Lair Comics and Fantasy,"2438 West Anderson Lane, Suite B-1, Austin, TX, 78757",Free,https://www.meetup.com/dragons-lair-pathfinder-society/events/313827265/,Dragon's Lair Pathfinder Society,,,,Meetup.com
The Referral Network pw refer,Business & Professional,4/6/2026,4/6/2026,Online event,"Austin, TX",Free,https://www.meetup.com/referralmonday/events/313821365/,The Referral Network,,,,Meetup.com
The Secret Meetup,Business & Professional,4/6/2026,4/6/2026,The Secret Lantern Books & Games,"151 S. Bell Blvd, Cedar Park, TX, 78613",Free,https://www.meetup.com/central-texas-board-games/events/313840543/,Central Texas Board Games Meetup,,,,Meetup.com
Unmute Yourself ,Business & Professional,4/6/2026,4/6/2026,,"Austin, TX",Free,https://www.meetup.com/raise-your-awareness-raise-your-life/events/313632488/,Finding Purpose in a Mad World,,,,Meetup.com
Vegan Meditation,Business & Professional,4/6/2026,4/6/2026,Online event,"Austin, TX",Free,https://www.meetup.com/compassionconsortium/events/313828055/,Compassion Consortium – Events for Vegans and Animal Advocates,,,,Meetup.com
 Dripping Springs: Conversemos por la red/online!,Business & Professional,4/7/2026,4/7/2026,Online event,"Austin, TX",Free,https://www.meetup.com/english-espanol/events/313698126/,English Español Conversation Club,,,,Meetup.com
(N.Aus)    Photo Shop 101,Business & Professional,4/7/2026,4/7/2026,Precision Camera & Video,"2448 Anderson, Austin, TX, 78757",Free,https://www.meetup.com/austin-art-lovers/events/314004716/,Austin Art Lovers,,,,Meetup.com
(UT) 2026 Viewpoint Series Lecture:Alex Klein& Dan Nader,Business & Professional,4/7/2026,4/7/2026,Dept Of Art history,"2301 SanJacinto, Austin, TX, 78705",Free,https://www.meetup.com/austin-art-lovers/events/314004819/,Austin Art Lovers,,,,Meetup.com
1st CCCC Meetup @ Radio Coffee & Beer,Business & Professional,4/7/2026,4/7/2026,Radio Coffee & Beer,"4204 Menchaca Rd, 78704, Austin, TX, 78704",Free,https://www.meetup.com/claude-code-coworking-coffee/events/313971321/,"Claude Code, Coworking, & Coffee",,,,Meetup.com
AB⚡️DC - Austin Bitcoin Design Club,Business & Professional,4/7/2026,4/7/2026,Bitcoin Commons Austin,"601 Congress Avenue Suite 200, Austin, tx, 78701",Free,https://www.meetup.com/bitcoin-park-austin/events/306401439/,Bitcoin Park Austin,,,,Meetup.com
ATX Marketing Innovators Power Breakfast,Business & Professional,4/7/2026,4/7/2026,,"St. Elmo Brewing Company - Springdale, 8110 Springdale Rd, Austin, TX 78724, USA",Free,https://lu.ma/kr9a5c19,Wishbone Advisory,,,,Luma (lu.ma)
Austin Product Techies - Book Club,Business & Professional,4/7/2026,4/7/2026,First Light Book Shop,"4300 Speedway Unit 104, Austin, TX, 78751",Free,https://www.meetup.com/austin-product-strategy/events/312687497/,Austin Product & Strategy,,,,Meetup.com
Austin: Training Mate HIIT Workout,Business & Professional,4/7/2026,4/7/2026,,"Training Mate Austin SoCo, 4341 S Congress Ave Suite 125, Austin, TX 78745, USA",Free,https://lu.ma/ra8qm6tw,"Nancy Kaatz, Katelyn Nassar",,,,Luma (lu.ma)
AZ Zen Zoom - Tuesday - A safe place to discuss your spiritual path,Business & Professional,4/7/2026,4/7/2026,Online event,"Austin, TX",Free,https://www.meetup.com/awkwardly-zen-a-safe-place-for-your-spiritual-path-atx/events/313833921/,ATX - Awkwardly Zen - A safe place for your spiritual path,,,,Meetup.com
Beginner Spanish Conversation Club – Your Safe & Fun Space to Speak Spanish!.,Business & Professional,4/7/2026,4/7/2026,Online event,"Austin, TX",Paid — 10.0 USD,https://www.meetup.com/meetup-group-dlefbtnu/events/313844487/,Worldwide Spanish Conversation Club!,,,,Meetup.com
Bitcoin & Coffee,Business & Professional,4/7/2026,4/7/2026,The Meteor,"2110 S Congress Ave, Austin, TX, 78704",Free,https://www.meetup.com/bitcoin-park-austin/events/314073170/,Bitcoin Park Austin,,,,Meetup.com
Confident Hiring Manager Monthly Meetup,Business & Professional,4/7/2026,4/7/2026,,"Austin, TX",Free,https://www.meetup.com/how-2-hire-austin/events/313210400/,How 2 Hire - Austin,,,,Meetup.com
Español e English Dripping Springs: Conversemos por la red/online! ,Business & Professional,4/7/2026,4/7/2026,,"Austin, TX",Free,https://www.meetup.com/spanishadventures/events/313842997/,Spanish Adventures Conversational Club,,,,Meetup.com
Fingerpistol at The Little Longhorn w/ Dance Lesson ,Business & Professional,4/7/2026,4/7/2026,The Little Longhorn,"5434 Burnet Rd., Austin, TX",Free,https://www.meetup.com/austin-honky-tonk-rockabilly/events/313845967/,Austin Honky Tonk & Rockabilly,,,,Meetup.com
Let's Dance! with Kristie,Business & Professional,4/7/2026,4/7/2026,4544 S Lamar Blvd,"4544 S Lamar Blvd, Austin, TX, 78745",Paid — 15.0 USD,https://www.meetup.com/experience-nia-technique-austin-tx/events/313833772/,"Experience Nia Technique - Austin, TX",,,,Meetup.com
"No Room for Failure: AI, Cyber & the New Rules of Grid Engineering",Business & Professional,4/7/2026,4/7/2026,Online event,"Austin, TX",Free,https://www.meetup.com/obsidi-tech-talks-professional-community/events/313501870/,"Obsidi® Tech Talks - Tech Professionals Houston, Texas",,,,Meetup.com
Out in Tech Demo Night,Business & Professional,4/7/2026,4/8/2026,,"Capital Factory, 701 Brazos St, Austin, TX 78701, USA",Free,https://lu.ma/rke6tntc,"Michael Moran, Brad Zellman, Troy Pacheco",,,,Luma (lu.ma)
Physics on the Rocks: Accessible Physics Talks and Discussion,Business & Professional,4/7/2026,4/7/2026,Darwin's Pub,"223 East 6th Street, Austin, TX, 78701",Free,https://www.meetup.com/science-seekers-atx/events/314061548/,Science Seekers ATX,,,,Meetup.com
ProductCamp Austin Bi-Weekly Meetup,Business & Professional,4/7/2026,4/7/2026,Online event,"Austin, TX",Free,https://www.meetup.com/productcampaustin/events/313947794/,ProductCamp Austin (Un)conference,,,,Meetup.com
PyTexas Monthly Meetup: Disentangling Formatted Strings with t-strings,Business & Professional,4/7/2026,4/7/2026,Online event,"Austin, TX",Free,https://www.meetup.com/alamo-python/events/313834364/,Alamo Python,,,,Meetup.com
Tech Pros: Free Communication & Confidence Workshop (Using Standup Comedy),Business & Professional,4/7/2026,4/7/2026,,"Austin, TX",Free,https://www.meetup.com/it-misfits-austin-tech-comedy/events/313966576/,IT Misfits: Austin Tech & Comedy,,,,Meetup.com
The Health Hustlers: An Exclusive Networking Event for Health/Wellness Professionals,Business & Professional,4/7/2026,4/8/2026,,"2043 S Lamar Blvd, Austin, TX 78704, USA",Free,https://lu.ma/43tutdq4,"Dr. Scott Mitchell, Corey Hiben",,,,Luma (lu.ma)
The New Yorker Weekly Short Story Club (Tuesday Edition),Business & Professional,4/7/2026,4/7/2026,Central Market,"4001 N Lamar Blvd, Austin, TX, 78756",Free,https://www.meetup.com/atxstories/events/314058373/,Austin: The New Yorker Magazine Short Story Readers Club,,,,Meetup.com
Toastmasters Regular Weekly Meetup,Business & Professional,4/7/2026,4/7/2026,Online event,"Austin, TX",Free,https://www.meetup.com/jump-start-your-career/events/313837704/,Jump Start Your Career!,,,,Meetup.com
Two-Steppin' Tuesday with Weldon Henson at The Spoke,Business & Professional,4/7/2026,4/7/2026,The Broken Spoke,"3201 S. Lamar, Austin, TX, 78704",Free,https://www.meetup.com/austin-honky-tonk-rockabilly/events/313845708/,Austin Honky Tonk & Rockabilly,,,,Meetup.com
Vibe Doctoring + Loss Landscape Degeneracy | 2-30min Talks,Business & Professional,4/7/2026,4/7/2026,"Capital Factory, Voltron Room (1st floor)","701 Brazos Street, Austin, TX",Free,https://www.meetup.com/austin-deep-learning/events/312687522/,Austin Deep Learning,,,,Meetup.com
Wasm + Wine: Weekly Happy Hour ,Business & Professional,4/7/2026,4/7/2026,The Meteor,"2110 S Congress Ave, Austin, TX, 78704",Free,https://www.meetup.com/webassembly-atx/events/313733546/,WebAssembly Austin,,,,Meetup.com
"WEBINAR ""Trust What You Can Trace: Making Agentic AI Explainable""",Business & Professional,4/7/2026,4/7/2026,Online event,"Austin, TX",Free,https://www.meetup.com/data-science-odsc-austin/events/313806553/,ODSC AI Austin,,,,Meetup.com
